as_of,name,tweet_volume
2021-01-02T06:45:11Z,Donald Trump,1875173
2021-01-02T07:46:32Z,Donald Trump,1882161
2021-01-02T08:47:52Z,Donald Trump,1889092
2021-01-04T05:45:37Z,Joe Biden,1170042
2021-01-04T06:46:55Z,Donald Trump,2351527
2021-01-04T07:48:12Z,Donald Trump,2076944
2021-01-04T07:48:12Z,Joe Biden,1169018
2021-01-04T08:49:27Z,Donald Trump,1713481
2021-01-04T08:49:27Z,Joe Biden,1168715
2021-01-04T09:50:42Z,Donald Trump,1613368
2021-01-04T09:50:42Z,Joe Biden,1167704
2021-01-04T10:51:58Z,Donald Trump,1848938
2021-01-04T10:51:58Z,Joe Biden,1165740
2021-01-04T11:53:15Z,Donald Trump,1488476
2021-01-04T11:53:15Z,Joe Biden,1166173
2021-01-04T12:54:33Z,Donald Trump,3878324
2021-01-06T06:49:15Z,Donald Trump,1462925
2021-01-06T07:50:31Z,Donald Trump,1391191
2021-01-06T07:50:31Z,Joe Biden,1106086
2021-01-06T08:51:48Z,Donald Trump,1461040
2021-01-06T08:51:48Z,Joe Biden,1121603
2021-01-06T10:54:21Z,Joe Biden,1137414
2021-01-06T11:55:39Z,Joe Biden,1141390
2021-01-06T18:03:38Z,Joe Biden,1177330
2021-01-06T19:05:01Z,Donald Trump,3724237
2021-01-06T19:05:01Z,Mike Pence,1189745
2021-01-06T20:06:53Z,Donald Trump,2184239
2021-01-06T20:06:53Z,Mike Pence,1455038
2021-01-06T20:06:53Z,Joe Biden,1294135
2021-01-06T21:08:20Z,Donald Trump,2975908
2021-01-06T21:08:20Z,Joe Biden,1434561
2021-01-06T21:08:20Z,Mike Pence,1522195
2021-01-06T22:09:45Z,Donald Trump,2766520
2021-01-06T22:09:45Z,Joe Biden,1416641
2021-01-06T22:09:45Z,Mike Pence,1185464
2021-01-06T23:11:10Z,Donald Trump,2712231
2021-01-06T23:11:10Z,Joe Biden,1234600
2021-01-06T23:11:10Z,Mike Pence,1397476
2021-01-07T00:12:33Z,Donald Trump,2910878
2021-01-07T00:12:33Z,Joe Biden,1835278
2021-01-07T00:12:33Z,Mike Pence,1811110
2021-01-07T01:13:56Z,Donald Trump,2349939
2021-01-07T01:13:56Z,Joe Biden,2232557
2021-01-07T01:13:56Z,Mike Pence,2374680
2021-01-07T02:15:21Z,Donald Trump,2988598
2021-01-07T02:15:21Z,Joe Biden,2312049
2021-01-07T02:15:21Z,Mike Pence,2569007
2021-01-07T03:16:45Z,Donald Trump,2415237
2021-01-07T03:16:45Z,Joe Biden,2382323
2021-01-07T03:16:45Z,Mike Pence,2707099
2021-01-07T04:18:06Z,Donald Trump,2121122
2021-01-07T04:18:06Z,Joe Biden,2453639
2021-01-07T04:18:06Z,Mike Pence,2799323
2021-01-07T05:19:25Z,Donald Trump,2874953
2021-01-07T05:19:25Z,Joe Biden,2494369
2021-01-07T05:19:25Z,Mike Pence,1924219
2021-01-07T06:20:42Z,Donald Trump,2867491
2021-01-07T06:20:42Z,Joe Biden,2414744
2021-01-07T06:20:42Z,Mike Pence,1429390
2021-01-07T07:21:59Z,Donald Trump,2707360
2021-01-07T07:21:59Z,Joe Biden,1934375
2021-01-07T07:21:59Z,Mike Pence,1131585
2021-01-07T08:23:16Z,Donald Trump,4608298
2021-01-07T08:23:16Z,Joe Biden,2581043
2021-01-07T08:23:16Z,Mike Pence,1576385
2021-01-07T09:24:31Z,Donald Trump,10822138
2021-01-07T09:24:31Z,Joe Biden,2728416
2021-01-07T09:24:31Z,Mike Pence,1593932
2021-01-07T10:25:47Z,Donald Trump,5576517
2021-01-07T10:25:47Z,Joe Biden,2798957
2021-01-07T11:27:02Z,Donald Trump,3481238
2021-01-07T11:27:02Z,Joe Biden,2845632
2021-01-07T12:28:34Z,Donald Trump,1845171
2021-01-07T12:28:34Z,Joe Biden,2778454
2021-01-07T13:30:11Z,Donald Trump,2218440
2021-01-07T13:30:11Z,Joe Biden,2941434
2021-01-09T00:15:32Z,Donald Trump,1169994
2021-01-09T01:16:50Z,Donald Trump,1208999
2021-01-09T03:19:30Z,Donald Trump,1272539
2021-01-09T04:20:50Z,Donald Trump,1363011
2021-01-09T08:25:59Z,Donald Trump,1451225
2021-01-15T07:31:09Z,Joe Biden,1284573
2021-01-19T06:34:46Z,Donald Trump,3135701
2021-01-19T07:36:02Z,Donald Trump,2708398
2021-01-20T04:02:24Z,Joe Biden,1323853
2021-01-20T05:03:46Z,Joe Biden,1976149
2021-01-20T06:05:04Z,Joe Biden,2275299
2021-01-20T07:06:21Z,Joe Biden,2313303
2021-01-20T08:07:38Z,Joe Biden,2346814
2021-01-20T09:08:55Z,Joe Biden,2380334
2021-01-20T10:10:12Z,Joe Biden,2408909
2021-01-20T11:11:29Z,Joe Biden,2440984
2021-01-20T12:12:48Z,Joe Biden,2478502
2021-01-20T13:14:08Z,Joe Biden,2532713
2021-01-20T14:15:29Z,Joe Biden,2646700
2021-01-20T15:16:48Z,Joe Biden,2817293
2021-01-20T16:18:10Z,Joe Biden,3029653
2021-01-20T16:18:10Z,Joe Biden,3029653
2021-01-20T18:20:55Z,Joe Biden,2154207
2021-01-20T19:22:16Z,Joe Biden,2432860
2021-01-20T19:22:16Z,Joe Biden,2432860
2021-01-20T20:23:38Z,Joe Biden,2486859
2021-01-20T20:23:38Z,Joe Biden,2486859
2021-01-20T21:24:58Z,Joe Biden,2270786
2021-01-20T22:26:18Z,Joe Biden,3930023
2021-01-20T23:27:37Z,Joe Biden,3751104
2021-01-21T00:28:57Z,Joe Biden,2365190
2021-01-21T06:36:57Z,Joe Biden,2222227
2021-01-21T06:36:57Z,Kamala Harris,1270051
2021-01-21T06:36:57Z,Donald Trump,1879764
2021-01-21T07:38:14Z,Joe Biden,2239879
2021-01-21T07:38:14Z,Donald Trump,1974971
2021-01-21T07:38:14Z,Kamala Harris,1276211
2021-01-21T08:39:31Z,Joe Biden,6156780
2021-01-21T08:39:31Z,Donald Trump,5326718
2021-01-21T08:39:31Z,Kamala Harris,1282133
2021-01-21T09:40:54Z,Joe Biden,7212095
2021-01-21T09:40:54Z,Donald Trump,6521825
2021-01-21T09:40:54Z,Kamala Harris,1287844
2021-01-21T10:42:11Z,Joe Biden,7241268
2021-01-21T11:43:32Z,Kamala Harris,1294634
2021-02-17T08:01:24Z,Joe Biden,1106780
2021-02-26T11:01:26Z,Joe Biden,1062799
2021-02-26T15:01:29Z,Joe Biden,1221452
2021-02-26T19:01:30Z,Joe Biden,1404388
2021-03-12T07:01:22Z,Joe Biden,1294858
2021-03-19T23:01:29Z,Joe Biden,1447329
2021-04-29T06:01:25Z,Joe Biden,1499657
2021-04-29T10:01:26Z,Joe Biden,1575668
2021-04-29T14:01:36Z,Joe Biden,1713018
2021-04-29T18:01:30Z,Joe Biden,1830718
